CAMERA TYPE,CAMERA LOCATION CODE,LOCATION DESCRIPTION,Location
MOBILE SPEED CAMERA,0120C,"61 Kalgoorlie Cres, Fisher ACT 2611, Australia","(-35.36276, 149.05785)"
MOBILE SPEED CAMERA,0175E,"121 Sternberg Cres, Wanniassa ACT 2903, Australia","(-35.40249, 149.09273)"
MOBILE SPEED CAMERA,0051D,"250 La Perouse St, Red Hill ACT 2603, Australia","(-35.33812, 149.12354)"
MOBILE SPEED CAMERA,0041B,"61 Learmonth Dr, Kambah ACT 2902, Australia","(-35.39705, 149.05721)"
MOBILE SPEED CAMERA,0162B,"95 Carruthers St, Curtin ACT 2605, Australia","(-35.32441, 149.07561)"
MOBILE SPEED CAMERA,0017D,"Long Gully Rd, Canberra ACT 2901, Australia","(-35.38897, 149.12731)"
MOBILE SPEED CAMERA,0069C,"Erindale Dr, Monash ACT 2904, Australia","(-35.41373, 149.08124)"
MOBILE SPEED CAMERA,0132D,"109 Canberra Ave, Griffith ACT 2603, Australia","(-35.32205, 149.1457)"
MOBILE SPEED CAMERA,0022G,"383 Northbourne Ave, Dickson ACT 2602, Australia","(-35.25131, 149.13332)"
MOBILE SPEED CAMERA,0186B,"48 Athllon Dr, Greenway ACT 2900, Australia","(-35.42258, 149.06757)"
MOBILE SPEED CAMERA,0096G,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.23427, 149.05816)"
MOBILE SPEED CAMERA,0214B,"364 Southern Cross Dr, MacGregor ACT 2615, Australia","(-35.21797, 149.0059)"
MOBILE SPEED CAMERA,0010B,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.20914, 149.03686)"
MOBILE SPEED CAMERA,4000,"Barton Hwy, Crace ACT 2911, Australia","(-35.202827, 149.096463)"
MOBILE SPEED CAMERA,0119F,"Horse Park Dr, Forde ACT 2914, Australia","(-35.1739, 149.13955)"
MOBILE SPEED CAMERA,0057B,"Canberra Rex Hotel, 150 Northbourne Ave, Braddon ACT 2612, Australia","(-35.26869, 149.13091)"
MOBILE SPEED CAMERA,0002E,"165 Antill St, Downer ACT 2602, Australia","(-35.24783, 149.14978)"
MOBILE SPEED CAMERA,0075H,"Commonwealth Ave, Parkes ACT 2600, Australia","(-35.28587, 149.12798)"
MOBILE SPEED CAMERA,0206B,"18 MacArthur Ave, O'Connor ACT 2602, Australia","(-35.25943, 149.12013)"
POINT TO POINT CAMERA,2002/2003,HINDMARSH DRIVE WESTBOUND BETWEEN MUGGA LANE AND TYAGARAH STREET,"(-35.3471, 149.10827)"
MOBILE SPEED CAMERA,0033C,"Sunnyside, 2 Gladstone St, Hall ACT 2618, Australia","(-35.17413, 149.0642)"
MOBILE SPEED CAMERA,0072C,"Monaro Hwy, Gilmore ACT 2905, Australia","(-35.42646, 149.13855)"
MOBILE SPEED CAMERA,0020A,"Philmanda Park, 10494 Monaro Hwy, Jerrabomberra NSW 2619, Australia","(-35.35238, 149.16479)"
MOBILE SPEED CAMERA,0082E,"William Hovell Dr, Australian Capital Territory 2615, Australia","(-35.25196, 149.02649)"
MOBILE SPEED CAMERA,0197B,"Mirrabei Dr, Ngunnawal ACT 2913, Australia","(-35.17229, 149.11779)"
MOBILE SPEED CAMERA,0157B,"75 Tom Roberts Ave, Conder ACT 2906, Australia","(-35.46397, 149.10632)"
MOBILE SPEED CAMERA,0215B,"85 Beaurepaire Cres, Holt ACT 2615, Australia","(-35.22203, 149.01208)"
MOBILE SPEED CAMERA,0123D,"119 Drake-Brockman Dr, Australian Capital Territory 2617, Australia","(-35.23721, 149.02383)"
MOBILE SPEED CAMERA,0201C,"William Slim Dr, McKellar ACT 2617, Australia","(-35.22323, 149.07822)"
MOBILE SPEED CAMERA,0119B,"Horse Park Dr, Australian Capital Territory 2914, Australia","(-35.20687, 149.17039)"
MOBILE SPEED CAMERA,0098D,"170 Haydon Dr, Bruce ACT 2617, Australia","(-35.23711, 149.09088)"
MOBILE SPEED CAMERA,0053C,"282 Goyder St, Narrabundah ACT 2604, Australia","(-35.34095, 149.14315)"
MOBILE SPEED CAMERA,0004J,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25091, 149.07757)"
MOBILE SPEED CAMERA,0187B,"460 Pialligo Ave, Pialligo ACT 2609, Australia","(-35.31995, 149.20775)"
MOBILE SPEED CAMERA,0119N,"Horse Park Dr, Ngunnawal ACT 2913, Australia","(-35.155731, 149.105571)"
MOBILE SPEED CAMERA,0232A,"Uriarra Managers Cottage, 2028 Uriarra Rd, Coree ACT 2611, Australia","(-35.286243, 148.915875)"
MOBILE SPEED CAMERA,0191A,"49 McCulloch St, Curtin ACT 2605, Australia","(-35.32014, 149.08146)"
MOBILE SPEED CAMERA,0087A,"56 Clift Cres, Richardson ACT 2905, Australia","(-35.42678, 149.10741)"
MOBILE SPEED CAMERA,0088A,"The Bicentennial National Trail, Stromlo ACT 2611, Australia","(-35.32621, 149.02276)"
MOBILE SPEED CAMERA,0020S,"Alexander Maconochie Centre, 10400 Monaro Hwy, Hume ACT 2620, Australia","(-35.37366, 149.16849)"
MOBILE SPEED CAMERA,0018F,"142 Melrose Dr, Phillip ACT 2606, Australia","(-35.35727, 149.0893)"
MOBILE SPEED CAMERA,0166D,"215 Beasley St, Mawson ACT 2607, Australia","(-35.37044, 149.1022)"
MOBILE SPEED CAMERA,0107A,"33 Ross Smith Cres, Scullin ACT 2614, Australia","(-35.23854, 149.03753)"
MOBILE SPEED CAMERA,0083B,"Commonwealth Ave, Parkes ACT 2600, Australia","(-35.29071, 149.12726)"
MOBILE SPEED CAMERA,0243F,"Majura Parkway, Canberra ACT 2609, Australia","(-35.274134, 149.186969)"
MOBILE SPEED CAMERA,0153D,"33 Warragamba Ave, Duffy ACT 2611, Australia","(-35.33035, 149.03597)"
MOBILE SPEED CAMERA,0012J,"Gungahlin Dr, Gungahlin ACT 2912, Australia","(-35.19486, 149.128891)"
MOBILE SPEED CAMERA,0002F,"161 Antill St, Downer ACT 2602, Australia","(-35.24796, 149.14935)"
MOBILE SPEED CAMERA,0010H,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.21101, 149.03691)"
MOBILE SPEED CAMERA,0066H,"Ginninderra Dr, Evatt ACT 2617, Australia","(-35.21982, 149.05646)"
MOBILE SPEED CAMERA,0253A,"43 Chippindall Circuit, Theodore ACT 2905, Australia","(-35.453605, 149.118931)"
MOBILE SPEED CAMERA,0077D,"Yarra Glen, Deakin ACT 2600, Australia","(-35.31945, 149.08979)"
MOBILE SPEED CAMERA,0016A,"420 Lady Denman Dr, Molonglo Valley ACT 2611, Australia","(-35.29517, 149.0744)"
MOBILE SPEED CAMERA,0002A,"97 Antill St, Downer ACT 2602, Australia","(-35.24864, 149.14285)"
MOBILE SPEED CAMERA,0168B,"144 Blamey Cres, Campbell ACT 2612, Australia","(-35.29164, 149.15039)"
MOBILE SPEED CAMERA,0089F,"Federal Hwy & Majura Parkway & A23 & M23, Canberra ACT 2609, Australia","(-35.215655, 149.185031)"
MOBILE SPEED CAMERA,0039A,"17 Longmore Cres, Wanniassa ACT 2903, Australia","(-35.38941, 149.08858)"
MOBILE SPEED CAMERA,0041A,"39 Learmonth Dr, Kambah ACT 2902, Australia","(-35.40017, 149.05947)"
MOBILE SPEED CAMERA,0015H,"Kingsford Smith Dr, Florey ACT 2615, Australia","(-35.2256, 149.03672)"
MOBILE SPEED CAMERA,4001B,"Barton Hwy, Nicholls ACT 2913, Australia","(-35.202706, 149.096607)"
FIXED ONLY SPEED CAMERA,1028,MONARO HIGHWAY BETWEEN LANYON DRIVE AND SHEPPARD STREET,"(-35.39088, 149.162221)"
MOBILE SPEED CAMERA,0014F,"Hindmarsh Dr, Chifley ACT 2606, Australia","(-35.34778, 149.07349)"
MOBILE SPEED CAMERA,3002A,"4 The Valley Ave, Gungahlin ACT 2912, Australia","(-35.187726, 149.123275)"
MOBILE SPEED CAMERA,0121C,"69 David St, O'Connor ACT 2602, Australia","(-35.26689, 149.11768)"
MOBILE SPEED CAMERA,3013A,"92 Casey Cres, Calwell ACT 2905, Australia","(-35.441233, 149.116379)"
MOBILE SPEED CAMERA,0014G,"Hindmarsh Dr, Weston ACT 2611, Australia","(-35.347, 149.06245)"
MOBILE SPEED CAMERA,0048A,"83 Livingston Ave, Kambah ACT 2902, Australia","(-35.38962, 149.07921)"
MOBILE SPEED CAMERA,0004C,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26013, 149.09488)"
MOBILE SPEED CAMERA,0129A,"Monaro Hwy, Fyshwick ACT 2609, Australia","(-35.31113, 149.16945)"
MOBILE SPEED CAMERA,3006A,"109 Brigalow St, Lyneham ACT 2602, Australia","(-35.25063, 149.12583)"
MOBILE SPEED CAMERA,0031B,"71 Springvale Dr, Weetangera ACT 2614, Australia","(-35.25083, 149.04388)"
MOBILE SPEED CAMERA,0171G,"45 Wentworth Ave, Kingston ACT 2604, Australia","(-35.31624, 149.14524)"
MOBILE SPEED CAMERA,0006A,"201 Coppins Crossing Rd, Denman Prospect ACT 2611, Australia","(-35.29354, 149.03593)"
MOBILE SPEED CAMERA,0109C,"Ginninderra Dr, Dunlop ACT 2615, Australia","(-35.19786, 149.01511)"
MOBILE SPEED CAMERA,0039C,"166 Longmore Cres, Wanniassa ACT 2903, Australia","(-35.39566, 149.10394)"
MOBILE SPEED CAMERA,0012D,"Gungahlin Dr, Gungahlin ACT 2912, Australia","(-35.20412, 149.13265)"
MOBILE SPEED CAMERA,0095B,"Sulwood Dr, Wanniassa ACT 2903, Australia","(-35.38573, 149.09643)"
MOBILE SPEED CAMERA,0030C,"Taverner St, Wanniassa ACT 2903, Australia","(-35.40686, 149.0828)"
RED LIGHT AND SPEED CAMERA,1007,GINNINDERRA DRIVE/AIKMAN DRIVE,"(-35.23108, 149.08095)"
MOBILE SPEED CAMERA,0122G,"Gungahlin Dr, Kaleen ACT 2617, Australia","(-35.24209, 149.1107)"
MOBILE SPEED CAMERA,0096A,"Coulter Dr, Weetangera ACT 2614, Australia","(-35.247, 149.05632)"
MOBILE SPEED CAMERA,0233C,"Cotter Rd, Weston ACT 2611, Australia","(-35.325001, 149.055276)"
MOBILE SPEED CAMERA,0123B,"119 Drake-Brockman Dr, Australian Capital Territory 2617, Australia","(-35.23342, 149.02041)"
MOBILE SPEED CAMERA,0175C,"53 Sternberg Cres, Wanniassa ACT 2903, Australia","(-35.40147, 149.09867)"
MOBILE SPEED CAMERA,0095A,"Sulwood Dr, Wanniassa ACT 2903, Australia","(-35.3916, 149.10229)"
MOBILE SPEED CAMERA,0251A,"Caswell Dr, Aranda ACT 2614, Australia","(-35.27701, 149.08677)"
MOBILE SPEED CAMERA,0115L,"Isabella Dr, Gilmore ACT 2905, Australia","(-35.40907, 149.13513)"
MOBILE SPEED CAMERA,0102C,"Fairbairn Ave, Campbell ACT 2612, Australia","(-35.28269, 149.14974)"
MOBILE SPEED CAMERA,0010F,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.21471, 149.03897)"
MOBILE SPEED CAMERA,0152C,"120 Dixon Dr, Holder ACT 2611, Australia","(-35.32986, 149.04218)"
MOBILE SPEED CAMERA,0154A_2,"21 Barraclough Cres, Monash ACT 2904, Australia","(-35.41673, 149.0994)"
MOBILE SPEED CAMERA,0108B,"66 Spofforth St, Holt ACT 2615, Australia","(-35.22316, 149.00546)"
MOBILE SPEED CAMERA,0022D,"242 Northbourne Ave, Braddon ACT 2612, Australia","(-35.25807, 149.1326)"
MOBILE SPEED CAMERA,0090G,"Majura Parkway, Canberra ACT 2609, Australia","(-35.22205, 149.19568)"
MOBILE SPEED CAMERA,0066D,"Ginninderra Dr, Bruce ACT 2617, Australia","(-35.23153, 149.08314)"
MOBILE SPEED CAMERA,0146C,"109 Perry Dr, Chapman ACT 2611, Australia","(-35.35598, 149.03483)"
MOBILE SPEED CAMERA,0121A,"62 David St, Turner ACT 2612, Australia","(-35.26635, 149.11925)"
MOBILE SPEED CAMERA,0141C,"45 Sturt Ave, Narrabundah ACT 2604, Australia","(-35.32976, 149.14838)"
MOBILE SPEED CAMERA,0174B,"23 MacGregor St, Deakin ACT 2600, Australia","(-35.31703, 149.10146)"
FIXED ONLY SPEED CAMERA,1033S,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,"(-35.34768, 149.069651)"
MOBILE SPEED CAMERA,0009A,"111 Florey Dr, MacGregor ACT 2615, Australia","(-35.20891, 149.02705)"
MOBILE SPEED CAMERA,0069A,"Erindale Dr, Monash ACT 2904, Australia","(-35.41388, 149.08134)"
MOBILE SPEED CAMERA,0093F,"Southern Cross Dr, Florey ACT 2615, Australia","(-35.23498, 149.05485)"
MOBILE SPEED CAMERA,0011H,"Ginninderra Dr, O'Connor ACT 2602, Australia","(-35.24352, 149.1125)"
MOBILE SPEED CAMERA,0170A,"22A Giles St, Kingston ACT 2604, Australia","(-35.31653, 149.13962)"
MOBILE SPEED CAMERA,3010A,"32 National Circuit, Forrest ACT 2603, Australia","(-35.315443, 149.126609)"
MOBILE SPEED CAMERA,0124A,"157 Starke St, Holt ACT 2615, Australia","(-35.22397, 149.01666)"
MOBILE SPEED CAMERA,0066F,"Ginninderra Dr, Belconnen ACT 2617, Australia","(-35.23125, 149.08269)"
MOBILE SPEED CAMERA,0093E,"Southern Cross Dr, Florey ACT 2615, Australia","(-35.23204, 149.04982)"
MOBILE SPEED CAMERA,0073B,"30 Mugga Ln, Symonston ACT 2609, Australia","(-35.34742, 149.13826)"
MOBILE SPEED CAMERA,0023K,"Parkes Way, Acton ACT 2601, Australia","(-35.28374, 149.10419)"
MOBILE SPEED CAMERA,0204A,"Parliament House, 1 Capital Cir, Capital Hill ACT 2600, Australia","(-35.30837, 149.12822)"
MOBILE SPEED CAMERA,0240A,"12 O'Loghlen St, Latham ACT 2615, Australia","(-35.220881, 149.038118)"
MOBILE SPEED CAMERA,0115B,"Isabella Dr, Fadden ACT 2904, Australia","(-35.41461, 149.11797)"
MOBILE SPEED CAMERA,0017A,"Long Gully Rd, Jerrabomberra ACT 2620, Australia","(-35.38486, 149.1206)"
MOBILE SPEED CAMERA,0113A,"Aust Industrial Property Organisation, Unit 2/310 Anketell St, Greenway ACT 2900, Australia","(-35.42, 149.07153)"
MOBILE SPEED CAMERA,0061O,"Barton Hwy, Crace ACT 2911, Australia","(-35.20893, 149.1077)"
MOBILE SPEED CAMERA,0003H,"Athllon Dr, Farrer ACT 2607, Australia","(-35.38007, 149.09397)"
MOBILE SPEED CAMERA,3012A,"Drumston St, Isabella Plains ACT 2905, Australia","(-35.425473, 149.090901)"
MOBILE SPEED CAMERA,0053B,"262 Goyder St, Narrabundah ACT 2604, Australia","(-35.34013, 149.14528)"
MOBILE SPEED CAMERA,0053A,"211 Goyder St, Narrabundah ACT 2604, Australia","(-35.33885, 149.14751)"
MOBILE SPEED CAMERA,0257A,"81 Deamer Cres, Richardson ACT 2905, Australia","(-35.43054, 149.127919)"
MOBILE SPEED CAMERA,0014K,"257 Hindmarsh Dr, Rivett ACT 2611, Australia","(-35.34235, 149.03773)"
MOBILE SPEED CAMERA,0007C,"Drakeford Dr, Kambah ACT 2902, Australia","(-35.38908, 149.0658)"
MOBILE SPEED CAMERA,0244B,"Lanyon Dr, Jerrabomberra NSW 2619, Australia","(-35.381983, 149.176531)"
MOBILE SPEED CAMERA,0147C,"30 Eucumbene Dr, Duffy ACT 2611, Australia","(-35.34044, 149.02803)"
MOBILE SPEED CAMERA,0095D,"Sulwood Dr, Kambah ACT 2902, Australia","(-35.37389, 149.06034)"
MOBILE SPEED CAMERA,0082F,"William Hovell Dr, Australian Capital Territory 2615, Australia","(-35.26541, 149.0339)"
MOBILE SPEED CAMERA,0100A,"Willem Janszoon Commemorative Park, 30 Jansz Cres, Griffith ACT 2603, Australia","(-35.33043, 149.13031)"
MOBILE SPEED CAMERA,3018A,"40 Launceston St, Phillip ACT 2606, Australia","(-35.340335, 149.090097)"
MOBILE SPEED CAMERA,0072P,"Vallona, 7950 Monaro Hwy, Australian Capital Territory 2901, Australia","(-35.561381, 149.131466)"
MOBILE SPEED CAMERA,0031C,"115 Springvale Dr, Weetangera ACT 2614, Australia","(-35.2566, 149.04633)"
MOBILE SPEED CAMERA,0171B,"45 Wentworth Ave, Kingston ACT 2604, Australia","(-35.3158, 149.14523)"
MOBILE SPEED CAMERA,0089B,"881 Federal Hwy, Australian Capital Territory 2912, Australia","(-35.22128, 149.17493)"
MOBILE SPEED CAMERA,0029A,"Owen Dixon Dr, McKellar ACT 2617, Australia","(-35.21147, 149.08452)"
MOBILE SPEED CAMERA,0004M,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.2458, 149.06197)"
MOBILE SPEED CAMERA,0098A,"10 Haydon Dr, Bruce ACT 2617, Australia","(-35.25226, 149.08738)"
MOBILE SPEED CAMERA,0166B,"7-11 Beasley St, Torrens ACT 2607, Australia","(-35.36509, 149.0895)"
MOBILE SPEED CAMERA,0029B,"53 Owen Dixon Dr, Evatt ACT 2617, Australia","(-35.20722, 149.08161)"
MOBILE SPEED CAMERA,0017B,"Long Gully Rd, Canberra ACT 2901, Australia","(-35.38869, 149.12788)"
MOBILE SPEED CAMERA,0196F,"271 Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.1854, 149.14814)"
MOBILE SPEED CAMERA,0049D,"65 Clive Steele Ave, Monash ACT 2904, Australia","(-35.4148, 149.09612)"
RED LIGHT AND SPEED CAMERA,1011,GINNINDERRA DRIVE/COULTER DRIVE,"(-35.22168, 149.06305)"
MOBILE SPEED CAMERA,0075E,"Commonwealth Ave, Parkes ACT 2600, Australia","(-35.28597, 149.12803)"
MOBILE SPEED CAMERA,0241B,"25 Shumack St, Weetangera ACT 2614, Australia","(-35.246718, 149.050547)"
MOBILE SPEED CAMERA,0004N,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.2459, 149.06263)"
MOBILE SPEED CAMERA,0235B,"35 Mapleton Ave, Harrison ACT 2914, Australia","(-35.194949, 149.157743)"
MOBILE SPEED CAMERA,0123E,"The Bicentennial National Trail, Australian Capital Territory 2615, Australia","(-35.23145, 149.01344)"
MOBILE SPEED CAMERA,0160E,"State Cir, Yarralumla ACT 2600, Australia","(-35.30582, 149.12013)"
MOBILE SPEED CAMERA,0061D,"Barton Hwy, Crace ACT 2911, Australia","(-35.21618, 149.11506)"
MOBILE SPEED CAMERA,0156C,"Streeton Dr, Holder ACT 2611, Australia","(-35.33746, 149.05137)"
MOBILE SPEED CAMERA,0011E,"Ginninderra Dr, O'Connor ACT 2602, Australia","(-35.24322, 149.12177)"
MOBILE SPEED CAMERA,0209A,"19 Bandjalong Cres, Aranda ACT 2614, Australia","(-35.25938, 149.07555)"
MOBILE SPEED CAMERA,0213A,"156 Osburn Dr, MacGregor ACT 2615, Australia","(-35.21523, 149.00988)"
MOBILE SPEED CAMERA,0014J,"217 Hindmarsh Dr, Rivett ACT 2611, Australia","(-35.34213, 149.04301)"
MOBILE SPEED CAMERA,0188B,"Johnson Dr, Calwell ACT 2905, Australia","(-35.43337, 149.10916)"
MOBILE SPEED CAMERA,0052D,"24 Novar St, Yarralumla ACT 2600, Australia","(-35.31103, 149.09835)"
MOBILE SPEED CAMERA,0215A,"29 Beaurepaire Cres, Holt ACT 2615, Australia","(-35.22677, 149.01318)"
MOBILE SPEED CAMERA,0188C,"51 Johnson Dr, Calwell ACT 2905, Australia","(-35.43319, 149.11505)"
MOBILE SPEED CAMERA,0072H,"Monaro Hwy, Gilmore ACT 2905, Australia","(-35.40715, 149.14453)"
MOBILE SPEED CAMERA,0111D,"119 Limestone Ave, Braddon ACT 2612, Australia","(-35.26403, 149.13664)"
MOBILE SPEED CAMERA,0171F,"56 Wentworth Ave, Kingston ACT 2604, Australia","(-35.31733, 149.14585)"
FIXED ONLY SPEED CAMERA,1031,FEDERAL HIGHWAY BETWEEN ANTILL STREET AND MAJURA ROAD,"(-35.22413, 149.16758)"
MOBILE SPEED CAMERA,0178A,"95 Flemington Rd, Lyneham ACT 2602, Australia","(-35.22296, 149.1441)"
MOBILE SPEED CAMERA,0103B,"61 Flinders Way, Griffith ACT 2603, Australia","(-35.32567, 149.13175)"
MOBILE SPEED CAMERA,0140B,"74 Kootara Cres, Narrabundah ACT 2604, Australia","(-35.3331, 149.15735)"
MOBILE SPEED CAMERA,0036A,"42 Badimara St, Waramanga ACT 2611, Australia","(-35.35384, 149.06896)"
MOBILE SPEED CAMERA,0096F,"Coulter Dr, Belconnen ACT 2617, Australia","(-35.23347, 149.05841)"
MOBILE SPEED CAMERA,0255A,"181 Mouat St, Lyneham ACT 2602, Australia","(-35.246148, 149.127837)"
MOBILE SPEED CAMERA,0232B,"Uriarra Rd, Coree ACT 2611, Australia","(-35.275821, 148.924585)"
MOBILE SPEED CAMERA,0020V,"10423 Monaro Hwy, Symonston ACT 2609, Australia","(-35.36262, 149.1667)"
MOBILE SPEED CAMERA,0156E,"Streeton Dr, Holder ACT 2611, Australia","(-35.33195, 149.05393)"
MOBILE SPEED CAMERA,0162C,"118-120 Carruthers St, Curtin ACT 2605, Australia","(-35.32345, 149.07742)"
MOBILE SPEED CAMERA,0201B,"William Slim Dr, Giralang ACT 2617, Australia","(-35.20431, 149.08991)"
MOBILE SPEED CAMERA,0007A,"Drakeford Dr, Kambah ACT 2902, Australia","(-35.39358, 149.07025)"
MOBILE SPEED CAMERA,0115D,"Isabella Dr, Monash ACT 2904, Australia","(-35.42155, 149.09648)"
MOBILE SPEED CAMERA,0011D,"Ginninderra Dr, O'Connor ACT 2602, Australia","(-35.24292, 149.12301)"
MOBILE SPEED CAMERA,0055A,"Athllon Dr, Phillip ACT 2606, Australia","(-35.35325, 149.09147)"
MOBILE SPEED CAMERA,0140C,"54 Kootara Cres, Narrabundah ACT 2604, Australia","(-35.33174, 149.15297)"
MOBILE SPEED CAMERA,3038A,"112 Cowper St, Dickson ACT 2602, Australia","(-35.253648, 149.139205)"
MOBILE SPEED CAMERA,0251B,"Caswell Dr, Australian Capital Territory 2615, Australia","(-35.26943, 149.08787)"
MOBILE SPEED CAMERA,0120D,"135 Kalgoorlie Cres, Fisher ACT 2611, Australia","(-35.35773, 149.05333)"
MOBILE SPEED CAMERA,0003D,"Athllon Dr, Torrens ACT 2607, Australia","(-35.37329, 149.09272)"
MOBILE SPEED CAMERA,3004A,"Nullarbor Ave, Harrison ACT 2914, Australia","(-35.201501, 149.152666)"
MOBILE SPEED CAMERA,0054A,"21 Launceston St, Lyons ACT 2606, Australia","(-35.3396, 149.07935)"
MOBILE SPEED CAMERA,0236A,"4 The Valley Ave, Gungahlin ACT 2912, Australia","(-35.18772, 149.12327)"
MOBILE SPEED CAMERA,0037G,"241 Namatjira Dr, Fisher ACT 2611, Australia","(-35.36922, 149.05086)"
MOBILE SPEED CAMERA,0192C,"23 Dunstan St, Curtin ACT 2605, Australia","(-35.31849, 149.07899)"
MOBILE SPEED CAMERA,0113B,"398 Anketell St, Greenway ACT 2900, Australia","(-35.4225, 149.07298)"
MOBILE SPEED CAMERA,0220A,"Mulligans Flat Rd, Forde ACT 2914, Australia","(-35.161709, 149.144903)"
MOBILE SPEED CAMERA,0020T,"Alexander Maconochie Centre, 10400 Monaro Hwy, Hume ACT 2620, Australia","(-35.3736, 149.1687)"
MOBILE SPEED CAMERA,0076B,"77 Yamba Dr, Garran ACT 2605, Australia","(-35.34556, 149.09937)"
MOBILE SPEED CAMERA,0171C,"55 Wentworth Ave, Kingston ACT 2604, Australia","(-35.31735, 149.14614)"
MOBILE SPEED CAMERA,0020M,"Monaro Hwy, Canberra ACT 2901, Australia","(-35.39931, 149.15051)"
MOBILE SPEED CAMERA,0102E,"Fairbairn Ave, Campbell ACT 2612, Australia","(-35.28319, 149.15585)"
MOBILE SPEED CAMERA,0151B,"39 Narrabundah Ln, Symonston ACT 2609, Australia","(-35.35206, 149.14105)"
MOBILE SPEED CAMERA,0119P,"Horse Park Dr, Ngunnawal ACT 2913, Australia","(-35.162431, 149.101816)"
MOBILE SPEED CAMERA,0156A,"104 Streeton Dr, Rivett ACT 2611, Australia","(-35.35086, 149.04208)"
MOBILE SPEED CAMERA,0003B,"Athllon Dr, Torrens ACT 2607, Australia","(-35.37929, 149.09316)"
MOBILE SPEED CAMERA,0091C,"100 Ellenborough St, Kaleen ACT 2617, Australia","(-35.23184, 149.12061)"
MOBILE SPEED CAMERA,0239B,"5 Benjamin Way, Belconnen ACT 2617, Australia","(-35.24558, 149.067573)"
MOBILE SPEED CAMERA,0063D,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34723, 149.12061)"
MOBILE SPEED CAMERA,0214A,"148-152 Parkwood Rd, MacGregor ACT 2615, Australia","(-35.21613, 148.99232)"
MOBILE SPEED CAMERA,0077E,"Yarra Glen, Hughes ACT 2605, Australia","(-35.32457, 149.08793)"
MOBILE SPEED CAMERA,0233D,"Act Forests Hq, 520 Cotter Rd, Coombs ACT 2611, Australia","(-35.327104, 149.04665)"
MOBILE SPEED CAMERA,0044C,"100 Tillyard Dr, Flynn ACT 2615, Australia","(-35.20052, 149.04307)"
MOBILE SPEED CAMERA,0081C,"William Hovell Dr, Molonglo Valley ACT 2611, Australia","(-35.27128, 149.05591)"
MOBILE SPEED CAMERA,0073A,"30 Mugga Ln, Symonston ACT 2609, Australia","(-35.34743, 149.1385)"
MOBILE SPEED CAMERA,0061L,"Barton Hwy, Crace ACT 2911, Australia","(-35.2103, 149.1099)"
MOBILE SPEED CAMERA,0053E,"169 Goyder St, Narrabundah ACT 2604, Australia","(-35.33663, 149.15183)"
MOBILE SPEED CAMERA,0182B,"105 Outtrim Ave, Calwell ACT 2905, Australia","(-35.43553, 149.10804)"
MOBILE SPEED CAMERA,0094E,"242 Southern Cross Dr, Latham ACT 2615, Australia","(-35.21995, 149.02367)"
MOBILE SPEED CAMERA,3014A,"Narrabundah College, 20 Jerrabomberra Ave, Narrabundah ACT 2604, Australia","(-35.336347, 149.148487)"
MOBILE SPEED CAMERA,0148B,"1 Littler Pl, Banks ACT 2906, Australia","(-35.47159, 149.10084)"
MOBILE SPEED CAMERA,02010C,"The Almond, 18 Lyttleton Cres, Cook ACT 2614, Australia","(-35.25795, 149.0641)"
MOBILE SPEED CAMERA,0004A,"Belconnen Way, Bruce ACT 2617, Australia","(-35.26052, 149.09898)"
MOBILE SPEED CAMERA,0239A,"100 Benjamin Way, Belconnen ACT 2617, Australia","(-35.244295, 149.06727)"
MOBILE SPEED CAMERA,0072O,"7739 Monaro Hwy, Australian Capital Territory 2901, Australia","(-35.577883, 149.135176)"
MOBILE SPEED CAMERA,0182A,"87 Outtrim Ave, Calwell ACT 2905, Australia","(-35.43552, 149.10607)"
MOBILE SPEED CAMERA,0268A,"26 Fornax St, Giralang ACT 2617, Australia","(-35.211365, 149.096778)"
MOBILE SPEED CAMERA,0075D,"Parkes Way, Canberra ACT 2601, Australia","(-35.28575, 149.12618)"
MOBILE SPEED CAMERA,0067A,"Ginninderra Dr, Charnwood ACT 2615, Australia","(-35.20631, 149.03068)"
MOBILE SPEED CAMERA,0161A,"111 Theodore St, Curtin ACT 2605, Australia","(-35.33562, 149.0814)"
MOBILE SPEED CAMERA,0178E,"Flemington Rd, Harrison ACT 2914, Australia","(-35.19881, 149.14973)"
MOBILE SPEED CAMERA,0021B,"99 Mugga Ln, Symonston ACT 2609, Australia","(-35.35323, 149.13339)"
MOBILE SPEED CAMERA,0111E,"121 Limestone Ave, Braddon ACT 2612, Australia","(-35.26368, 149.13671)"
MOBILE SPEED CAMERA,0022C,"253 Northbourne Ave, Lyneham ACT 2602, Australia","(-35.25784, 149.13286)"
